project_name,main_category,scope_of_dev,test_case,Fire TV,Roku,Android TV,Apple TV,Web,Apple Mobile,Android Mobile,Smart TV,Vizio TV
Basic Verification,Subscribe Page,Basic Subscription Section,"Face icon 확인
Single Profile text 확인
Single Profile text stringset 확인
Recycle icon 확인
Auto Renewal text 확인
Auto Renewal text stringset 확인
Bolt icon 확인
Unlimited content text 확인
Unlimited content text stringset 확인
Monitor icon 확인
Advertisement text 확인
Advertisement text stringset 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Subscribe Page,"KOCOWA+ for Your Enjoyment 
Section","content poster image 확인
poster image Hover 시 동작 확인
poster image 기능 확인
content Name text 확인
content Name text 생략 확인
content Name text 기능 확인
Default Setting 확인
Favorite Button 확인
미로그인 시 Favorite icon 기능 확인
Favorite Button 선택 시 동작 확인
Favorite Button 기능 확인
Bookmarked Button 확인
Bookmarked Button 선택 시 동작 확인
Bookmarked Button 기능 확인
Genre text 확인
Subtitle text 확인
content Subtitle 확인
content Subtitle stringset 국가별 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Subscribe Page,KOCOWA+ for Your Enjoyment Area,"title Text stringset 출력 확인
Sub Text stringset 출력 확인
content Component 출력 확인
content Component 최대 개수 확인
content Component 우측 Indicator 출력 확인
content Component 우측 Indicator 동작 확인
content Component 우측 Indicator 미출력 확인
content Component 좌측 Indicator 출력 확인
content Component 좌측 Indicator 동작 확인
content Component 좌측 Indicator 미출력 확인
우측 외부 content Component 출력 확인
우측 외부 content Component 미출력 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Subscribe Page,Premium Subscription Section,"Rectangle 확인
title text 확인
title text stringset 확인
Currency 확인
User Currency 확인
Price 확인
User Price 확인
Per-Unit text 확인
Division Line 확인
Benefit guidance text 확인
Benefit guidance text 출력 여부 확인
Subscribed text 확인
Subscribed text stringset 확인
미로그인 시 Subscription item 기능 확인
Subscription item 기능 확인
Monitor icon 확인
Advertisement Benefit text 확인
Advertisement Benefit text stringset 확인
Face icon 확인
Profile Benefit text 확인
Profile Benefit text stringset 확인
Recycle icon 확인
Auto Renewal text 확인
Auto Renewal text stringset 확인
Downward Arrow icon 확인
Download content text 확인
Download content text stringset 확인
Bolt icon 확인
Unlimited content text 확인
Unlimited content text stringset 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Subscribe Page,Select your Plan Area,"title text 확인
title text stringset 확인
sub text 확인
sub text stringset 확인
Rectangle 확인
type icon 확인
type icon stringset 확인
title text 확인
title text stringset 확인
sub text 확인
sub text stringset 확인
Rectangle 확인
type icon 확인
type icon stringset 확인
title text 확인
title text stringset 확인
sub text 확인
sub text stringset 확인
Bullet Point 확인
Guideline Information text 확인
Guideline Information text stringset 확인
Guideline text Button 선택 시 동작 확인
Guideline text Button 기능 확인
Coupon Information text 확인
Coupon Information text stringset 확인
Coupon Information text 출력 여부 확인
Premium Pass Information text 확인
here text Button 확인
here text Button stringset 확인
here text Button 기능 확인
free trial Inform text 확인
free trial Inform text stringset 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Subscribe Page,Top Area,"title text 확인
title text stringset 확인
Division Line 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Subscribe Page,Upgrade for a Better Experience! Area,"Upgrade for a Better Experience! Area 출력 여부 확인
Upgrade for a Better Experience! Area 확인
title text 확인
title text stringset 확인
Rectangle 확인
title text 확인
title text stringset 확인
User Subscription 확인
Rectangle 확인
title text 확인
title text stringset 확인
Price text 확인
Currency 확인
User Currency 확인
Price 확인
User Price 확인
Subscription Currency Code 확인
Target Subscription Currency Code 확인
Per-Unit text 확인
Upgrade Now Button 확인
Upgrade Now Button stringset 확인
Upgrade Now Button 기능 확인
Division Line 확인
Compare inform text 확인
Compare inform text stringset 확인
Delimiter 확인
Delimiter 출력 여부 확인
Monitor icon 확인
Advertisement Benefit text 확인
Advertisement Benefit text stringset 확인
Downward Arrow icon 확인
Download content text 확인
Download content text stringset 확인
Face icon 확인
Profile Benefit text 확인
Profile Benefit text stringset 확인
Basic Annual 계정 Premioum Monthly Section 출력 여부 확인
Premioum Monthly Section 출력 여부 확인
Rectangle 확인
title text 확인
title text stringset 확인
Price text 확인
Currency 확인
User Currency 확인
Price 확인
User Price 확인
Subscription Currency Code 확인
Target Subscription Currency Code 확인
Per-Unit text 확인
Upgrade Now Button 확인
Upgrade Now Button stringset 확인
Upgrade Now Button 기능 확인
Division Line 확인
Compare inform text 확인
Compare inform text stringset 확인
Delimiter 확인
Delimiter 출력 여부 확인
Bolt icon 확인
Discount Benefit text 확인
Discount Benefit text stringset 확인
Bullet Point 확인
Check Guidance text 확인
Check Guidance text stringset 확인
Platform Guidance text 확인
Platform Guidance text stringset 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Subscribe Page,Why Choose KOCOWA+ Service? Area,"title text 확인
title text stringset 확인
Exclusive
Korean Drama & Movies icon 출력 확인
Exclusive
Korean Drama & Movies title Text stringset 출력 확인
Exclusive
Korean Drama & Movies Sub Text stringset 출력 확인
Multi-Language Subtitles icon 출력 확인
Multi-Language Subtitles title Text stringset 출력 확인
Multi-Language Subtitles Sub Text stringset 출력 확인
Fast & Seamless Streaming icon 출력 확인
Fast & Seamless Streaming title Text stringset 출력 확인
Fast & Seamless Streaming Sub Text stringset 출력 확인
Cross-Device Sync icon 출력 확인
Cross-Device Sync title Text stringset 출력 확인
Cross-Device Sync Sub Text stringset 출력 확인
Flexible Plan & Easy icon 출력 확인
Flexible Plan & Easy title Text stringset 출력 확인
Flexible Plan & Easy Sub Text stringset 출력 확인
Exclusive Discounts for Annual Plans icon 출력 확인
Exclusive Discounts for Annual Plans title Text stringset 출력 확인
Exclusive Discounts for Annual Plans Sub Text stringset 출력 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Subscription Purchasing,Email List,"KOCOWA Payment Receipt Email 수신 여부 확인
KOCOWA Payment Receipt Email 수신 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Webcomics Viewer Screen,Bottom Episode List Area,"Left Navigation icon 확인
Dimmed Left Navigation icon 확인
Left Navigation icon 기능 확인
Left Navigation icon 출력 여부 확인
Right Navigation icon 확인
Dimmed Right Navigation icon 확인
Right Navigation icon 기능 확인
Right Navigation icon 출력 여부 확인
poster image 확인
열람 이력 있을 시 poster image UI 확인
열람 중인 poster image UI 확인
poster image hover 시 UI 확인
poster image hover 시 동작 확인
poster image 기능 확인
미결제 시 유료 content poster image 기능 확인
Free icon 확인
Free icon UI 확인
Free icon 출력 여부 확인
New icon 확인
New icon UI 확인
New icon 출력 여부 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Webcomics Viewer Screen,General Rules,"Default Setting 확인
Continue Watching 진입 시 동작 확인
Continue Watching 기능 확인
Top Moving icon 확인
Top Moving icon Hover 시 UI 확인
Top Moving icon 기능 확인
Bottom Moving icon 확인
Bottom Moving icon Hover 시 UI 확인
Bottom Moving icon 기능 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Webcomics Viewer Screen,Prevent illegal Copying,Screen Capture 방지 동작 확인,False,False,False,False,True,False,False,False,False
Basic Verification,Webcomics Viewer Screen,Top Episode List POP UP,"Left Navigation icon 확인
Dimmed Left Navigation icon 확인
Left Navigation icon 기능 확인
Right Navigation icon 확인
Dimmed Right Navigation icon 확인
Right Navigation icon 기능 확인
poster image 확인
열람 이력 있을 시 poster image UI 확인
열람 중인 poster image UI 확인
poster image hover 시 UI 확인
poster image hover 시 동작 확인
poster image 기능 확인
미결제 시 유료 content poster image 기능 확인
Free icon 확인
Free icon UI 확인
Free icon 출력 여부 확인
New icon 확인
New icon UI 확인
New icon 출력 여부 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Webcomics Viewer Screen,Top Function Bar,"Back icon 출력 확인
Back icon 기능 확인
content Episode Numbering 확인
Episode Numbering 확인
content Series Name 확인
Previous Button 확인
Dimmed Previous Button 기능 확인
Previous Button 선택 시 동작 확인
Previous Button 기능 확인
Division Line 확인
Next Button 확인
Dimmed Next Button 기능 확인
Next Button 선택 시 동작 확인
Next Button 기능 확인
미결제 시 Next Button 기능 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Welcome To KOCOWA Page,Header Area,"KOCOWA logo image 확인
KOCOWA logo image 기능 확인
Home text Button 기능 확인
Language icon 확인
Language icon Hover 시 동작 확인
Sign Out text Button 기능 확인
Header Area 상단 Fix 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Welcome To KOCOWA Page,User Data Area,"Background image 확인
User Email Address 확인
SUBSCRIBE Button 기능 확인
Service Home text Button 기능 확인",False,False,False,False,True,False,False,False,False
